"name","street","city","zip","phone","sys_updated_on"
"Apache Software Foundation","2000 Post Oak Boulevard, Suite 100","Houston","77056-4400","(713) 296-6000","2013-05-08 11:00:57"
"APC","520 8th Ave., 21st Floor","New York","10018","(212) 594-9333","2013-05-09 13:33:25"
"Apple","1 Infinite Loop","Cupertino","95014","(408) 996-1010","2013-05-07 10:21:57"
"Apttus","","Bangalore","","","2018-08-30 01:14:22"
"Asus","800 Corporate Way","Fremont","94539","(510) 739-3777","2013-05-09 13:35:52"
"AT&T","208 South Akard Street","Dallas","75202","(214) 741-6655","2013-05-09 13:39:51"
"Aureal","","","","","2013-06-05 09:40:01"
"Autodesk Inc.","111 McInnis Parkway","San Rafael","94903","(415) 507-5000","2013-05-06 22:50:22"
"Avantgo","","","","","2013-06-05 09:42:51"
"Aveo","","","","","2013-06-05 09:45:17"
"AWS","","","","","2013-06-05 09:46:39"
"Backweb","10 Ha'amal Street","Park Afek","48092","972 3 902 4182","2013-05-09 13:41:29"
"Bits Per Second","","","","","2013-06-05 09:50:22"
"Borland","","","","","2013-06-05 09:51:40"
"Bradbury","1200 E.Cole / PO Box 667","Moundridge","67107","(800) 397-6394","2013-05-06 22:50:22"
"Broadcom","5300 California Avenue","Irvine","92617-3038","(949) 926-5000","2013-05-06 22:50:22"
"Brother","15-1, Naeshiro-cho","Mizuho-ku","467-8561","81 5 2824 2075","2013-05-06 22:50:22"
"CA Technologies","One CA Plaza","Islandia","11749","(800) 225-5224","2013-05-06 22:50:22"
"Canon","30-2, Shimomaruko 3-Chome","Ohta-ku","146-8501","81 3 3758 2111","2013-05-09 13:41:56"
"Chapura","","","","","2013-06-05 09:53:47"
"Cinematronics","","","","","2013-06-05 09:55:18"
"Cisco","170 West Tasman Drive
","San Jose","95134-1706","408-526-4000","2013-05-09 13:44:27"
"Citrix Systems","851 West Cypress Creek Road
","Fort Lauderdale","33309","(954) 267-3000","2013-05-09 13:45:39"
"Cloudward Inc","1100 Larkspur Landing Circle
","Larkspur","94939","(415) 464-4849","2013-05-09 13:58:22"
"Clubphoto","","","","","2013-06-05 09:58:16"
"Concentric Network","","","","","2013-06-05 09:59:48"
"ConeXware","","","","","2013-06-05 10:11:35"
"CoreLogic, Inc.","40 Pacifica Suite 900
","Santa Ana","92618-7471","(949) 250-6400","2013-06-05 15:31:21"
"Corsair","46221 Landing Parkway","Fremont","94538","(510) 657-8747","2013-05-06 22:50:23"
"Creative Labs","701 Market Street","St. Augustine","32095","(904) 824-3133","2013-05-06 22:50:23"
"Cyberlink","4800 Great America Pkwy, Ste. 515","Santa Clara","95054","(408) 217-1850","2013-06-05 15:33:03"
"Cyberpower","5175 Commerce Dr.","Baldwin Park","91706","(888) 900-5180","2013-06-05 15:35:26"
"CyberRAIDª","","","","","2013-06-05 10:15:07"
"CyberRAID™","","","","","2013-06-05 10:15:42"
"Dell Inc.","2300 Greenlawn Blvd","Round Rock","78664","(512) 338-4400","2013-05-09 12:23:32"
"Design Science","","","","","2013-06-05 10:19:22"
"Disney","","","","","2013-06-05 10:24:11"
"Dynex","7601 Penn Avenue South","Richfield","55423-3645","(800) 305-2204","2013-05-06 22:50:23"
"Eatsleepmusic.Com","301 Moodie Dr.  Suite 306","Nepean","K2H 9C4","(855) 307-6158","2013-05-06 22:50:23"
"eFax.com","","","","","2013-06-05 10:30:46"
"eHelp","","","","","2013-06-05 10:38:39"
"EMC","176 South Street","Hopkinton ","01748","(866) 438-3622","2013-05-09 12:22:06"
"Erik Deppe","","","","","2013-06-05 10:42:15"
"Executive Software","","","","","2013-06-05 10:47:57"
"Freedom Scientific","","","","","2013-06-05 10:51:27"
"Fujitsu","1-5-2 Higashi-Shimbashi","","105-7123","81 3 6252 2220","2013-05-09 12:17:32"
"Gateway","7565 Irvine Center Drive","Irvine","92618","(949) 471-7040","2013-05-09 12:17:11"
"GenuineIntel","","","","","2013-06-05 10:53:26"
"Google","1600 Amphitheatre Parkway","Mountain View","CA","(650) 253-0000","2013-05-09 12:15:35"
"Hewlett-Packard","3000 Hanover Street","Palo Alto","CA","650-857-1501","2013-05-06 22:50:23"
"IBM","1133 Westchester Avenue","White Plains","10604","1-800-IBM-4YOU","2013-05-09 12:14:13"
"iBUYPOWER","529 N. Baldwin Park Blvd","City of Industry","91746","(888) 462-3899","2013-05-09 12:12:55"
"In Focus Systems","13190 SW 68th Parkway, Suite 200","Portland","97223-8368","(503) 207-4700","2013-05-09 12:09:13"
"Information Research","","","","","2012-10-14 04:59:41"
"Insight Development","","","","","2012-10-14 04:59:41"
"InstallShield Software","1000 E Woodfield Road, Suite 400","Schaumburg","60173","(800) 374-4353","2013-05-09 12:07:38"
"Intel","2200 Mission College Boulevard","Santa Clara","95054-1549","(408) 765-8080","2013-05-09 12:06:07"
"Intel Corporation","","","","","2013-06-05 11:03:49"
"InterVideo","","","","","2013-06-05 11:05:35"
"Intuit","2700 Coast Avenue","Mountain View","94043","(650) 944-6000","2013-05-09 12:05:09"
"Ipswitch","","","","","2013-06-05 11:10:26"
"Irfan Skiljan","","","","","2013-06-05 11:13:53"
"Iris","3452 Clairemont Blvd","San Diego, CA 92117","92117","(858) 555-2342","2013-05-09 12:01:37"
"Jasc","","","","","2013-06-05 11:21:03"
"Jordan Russell","","","","","2013-06-05 11:16:28"
"Kodak","343 State Street","Rochester","14650","(585) 724-4000","2013-05-09 11:57:27"
"LavaSoft","","","","","2013-06-05 11:25:15"
"Learn2.Com","","","","","2013-06-05 11:27:36"
"Lenovo","1009 Think Place","Morrisville","27560","(866) 968-4465","2013-05-09 11:55:11"
"Lexmark","One Lexmark Centre Drive","Lexington","40550","(859) 232-2000","2013-05-09 11:37:12"
"Linksys","170 West Tasman Drive","San Jose","95134-1706","","2013-05-09 11:35:58"
"Logitech","2-4, Rue du Sablon","Morges","1110","41 21 863 51 11","2013-05-09 11:34:37"
"Lucasarts Entertainment","500 South Buena Vista Street","Burbank","91521","(818) 560-1000","2013-05-09 11:33:27"
"Macromedia","345 Park Avenue","San Jose","95110-2704","(408) 536-6000","2013-05-09 11:29:49"
"Maxtor","38/39 Fitzwilliam Square","Dublin","2","353 1 234 3136","2013-05-09 11:26:41"
"MicroCom","","","","","2013-06-05 11:35:08"
"Microsoft","One Microsoft Way","Redmond","98052","(425) 882-8080","2013-05-09 11:25:08"
"Microtek","","","","","2013-06-05 11:38:21"
"Mindmaker","","","","","2013-06-05 11:50:52"
"Motive Communications","","","","","2013-06-05 11:53:08"
"Mozilla","650 Castro Street, Suite 300","Mountain View","94041-2021","","2013-05-09 11:23:30"
"MyFamily com","","","","","2013-06-05 11:56:13"
"N/A","6922 Hollywood Blvd., 4th floor","Los Angeles, CA 90028","","1 (800) 958-2983","2013-05-06 16:44:48"
"National Semiconductor","","","","","2013-06-05 12:12:31"
"Netopsystems","","","","","2013-06-05 12:14:44"
"Netscape","","","","","2013-06-05 12:15:43"
"Network Associates","","","","","2013-06-05 13:40:06"
"Novell","","","","","2013-06-05 13:42:17"
"NVIDIA","2701 San Tomas Expressway","Santa Clara","95050","(408) 486-2000","2013-05-09 11:20:49"
"OpenSource","","","","","2013-06-05 13:43:55"
"Oracle","500 Oracle Parkway","Redwood City, CA 94065","","(650) 506-7000","2013-05-09 11:17:56"
"Palm","3000 Hanover Street","Palo Alto","94304","(650) 857-1501","2013-05-09 11:15:19"
"Panicware","","","","","2013-06-05 13:44:56"
"Parallels Software International Inc.","","","","","2013-06-05 13:46:32"
"Partridge","","","","","2013-06-05 13:53:23"
"PC-Doctor","","","","","2013-06-05 13:54:47"
"Photo Click","","","","","2013-06-05 13:57:38"
"Picsel Technologies","","","","","2013-06-05 13:59:20"
"Pinnacle Systems","","","","","2013-06-05 14:01:11"
"Powerquest","","","","","2013-06-05 14:01:25"
"Puma","Keilalahdentie 2-4","Espoo","02150","358 7180 08000","2013-05-09 11:12:27"
"Qualitas","","","","","2013-06-05 14:06:21"
"Raosoft","","","","","2013-06-05 14:08:34"
"Rational Software","","","","","2013-06-05 14:10:46"
"RealNetworks","2601 Elliott Avenue, Suite 100","Seattle","98121","(206) 674-2700","2013-05-09 11:10:51"
"Robert E. Nolan","92 Hopmeadow Street","Simsbury","06089","(800) 653-1941","2013-05-09 11:09:04"
"Roxio","1600 Carling Avenue","Ottawa","K1Z 8R7","0800 376 9272","2013-05-09 11:03:27"
"S.A. Research","","","","","2013-06-05 14:13:21"
"Samsung","Samsung Main Building 250-2 ga Taepyung-ro","Seoul","100-742","(822) 727-7114","2013-05-09 10:57:11"
"SAP","Dietmar-Hopp-Allee 16","Walldorf","69190","49 6227 747474","2013-06-05 15:40:16"
"SAP America","","","","","2013-06-05 14:15:26"
"Screentime Media","","","","","2013-06-05 14:18:33"
"Seagate","38/39 Fitzwilliam Square","Dublin, 2, Ireland","","353 1 234 3136","2013-05-09 10:46:48"
"ServiceNow","4810 Eastgate Mall","San Diego","92121","(858) 720-0477","2013-05-07 16:28:30"
"Siber","","","","","2013-06-05 14:19:52"
"Siebel","500 Oracle Parkway","Redwood City, CA 94065","","(650) 506-7000","2013-05-09 10:44:07"
"SkyDesk","","","","","2013-06-05 14:25:06"
"SmileStone","","","","","2013-06-05 14:32:01"
"Sony","1-7-1 Konan Minato-ku","Tokyo, 108-0075, Japan","","81 3 6748 2111","2013-05-09 10:41:58"
"SpyBot","Watson & Johnson Centre, Mill Road, Greystones","Co Wicklow, Ireland","","","2013-05-09 10:38:27"
"Sun Microsystems","500 Oracle Parkway","Redwood City, CA 94065","","(650) 506-7000","2013-05-09 10:35:52"
"Symantec","350 Ellis Street","Mountain View","","(650) 527-8000","2013-05-09 10:33:44"
"System manufacturer","","","","","2013-05-08 13:23:29"
"TechSmith","","","","","2013-06-05 14:29:29"
"Telemar","","","","","2013-06-05 14:33:30"
"The Eclipse Foundation","102 Centrepointe Drive","Ottawa","K2G 6B1","(613) 224-9461","2013-05-09 10:24:56"
"Toshiba","1-1-1 Shibaura Minato-ku","Tokyo, 105-8001, Japan","","81-3-3457-4511","2013-05-09 10:23:35"
"Transcend","225 Emerson Street","Palo Alto","94301","(650) 324-5370","2013-05-09 10:20:47"
"Trend Micro","","","","","2013-06-05 14:41:26"
"UPEK","","","","","2013-06-05 14:44:07"
"Veritas Software","350 Ellis Street","Mountain view","","(650) 527-8000","2013-05-09 10:15:50"
"VIA","","","","","2013-06-05 14:45:05"
"Visio","One Microsoft Way","Redmond","98052-6399","(425) 882-8080","2013-05-09 10:12:23"
"Visioneer","","","","","2013-06-05 14:52:04"
"Wacom","2-510-1 Toyonodai","Kazo","349-1148","81 4 8078 1211","2013-05-08 13:55:17"
"Webroot","","","","","2013-06-05 14:53:01"
"WIDCOMM","","","","","2013-06-05 15:01:09"
"Winternals","","","","","2013-06-05 15:03:26"
"Winzip Computing","11 Proffessional Park Rd","Storrs Mansfield","06268-1659","","2013-05-08 13:51:27"
"Xen","","","","","2013-06-05 15:05:00"
"XYQuest","","","","","2013-06-05 15:09:59"
"Yahoo!","701 First Avenue","Sunnyvale","94089","","2013-05-09 10:09:17"
"Your name here","","","","","2022-04-20 16:58:13"
"Zero G","","","","","2013-06-05 15:11:31"
